Designator,Mid X,Mid Y,Rotation,Layer
C1,38.862,-69.088,180.0,top
C10,108.896,-60.486,0.0,top
C11,80.176,-63.98,0.0,top
C12,91.096,-73.058,0.0,top
C2,42.452,-68.546,0.0,top
C3,46.082,-74.148,180.0,top
C4,49.746,-71.046,180.0,top
C5,48.92,-69.146,180.0,top
C6,94.526,-69.808,0.0,top
C7,98.428,-69.66,180.0,top
C8,91.512,-75.122,0.0,top
C9,91.116,-71.438,0.0,top
D1,43.2545,-75.9125,270.0,top
D2,52.424,-81.264,0.0,top
J1,43.836,-85.166,0.0,top
J2,81.66,-80.028,0.0,top
J3,115.062,-52.832,270.0,top
J4,63.552,-58.898,0.0,top
J5,94.554,-60.494,180.0,top
J6,53.594,-58.928,0.0,top
L1,106.725,-57.637,0.0,top
L2,56.307,-85.023,90.0,top
L3,71.006666,-58.704,180.0,top
Q2,49.423,-75.77,90.0,top
Q3,93.048,-66.682,180.0,top
R1,46.678,-76.66,90.0,top
R10,92.832,-77.086,180.0,top
R14,99.438,-60.388,180.0,top
R16,53.768,-85.996,180.0,top
R17,70.172,-62.482,0.0,top
R2,51.12,-64.714,180.0,top
R3,51.142,-63.02,180.0,top
R4,52.14,-74.388,90.0,top
R5,52.082,-77.952,270.0,top
R6,54.224,-74.758,270.0,top
R7,97.274,-66.478,90.0,top
R8,89.178,-65.972,0.0,top
R9,78.648,-73.084,90.0,top
S1,36.2445,-75.1125,90.0,top
S2,78.569332,-58.779,0.0,top
U1,43.055,-60.308,90.0,top
U2,54.974,-69.098,0.0,top
U3,96.272,-72.152,180.0,top
U4,83.718,-72.722,0.0,top
U5,110.365,-71.324,90.0,top
U6,80.5054,-66.8818,0.0,top
U7,68.53,-74.21,90.0,top
