Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",0402,3,100nF,C307331
"C2, C4",0402,2,10uF,C315248
"C5, C7",0402,2,1uF,C77009
CR1,SOD3716X135N,1,B5819W-TP,C84354
J1,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
"J10, J11, J13, J9",PinSocket_1x06_P2.54mm_Vertical,4,Conn_01x06,C5224026
J12,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,SERIAL_FU,C471416
"J14, J8",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,2,5V Out 2, C474892
J15,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,470531000,1,AUX3,C240840 
J3,470531000,1,AUX1,C240840 
J4,470531000,1,AUX2,C240840 
J5,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,12OUT, C474892
J6,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,12VOUT, C474892
J7,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,5V OUT, C474892
L1,WS2812B-2020,1,WS2812B-2020,C965555
R1,0603,1,10K,C269701
"R2, R3",0603,2,100K,C25803
R4,0402,1,220,C25091
SW1,TS-1101S-B-B-B-W-A,1,SW_Push, C692465
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D_16MB_, C529578
U2,SOT-23,1,CJ2301_S1, C8547
U3,SOT-23-5,1,ME6211C33M5G,C82942
U4,SOIC127P600X180-16N,1,CH340C,C84681
U5,UMT6,1,UMH3N, C62892
U6,D36V50F5-STEPDOWN,1,D36V50F5-STEPDOWN,
